"","id","datetime","user","text","date","hour"
"3496","360108567489024000",2013-07-24 14:45:00,"genetics_blog","ShortBRED: Short Better REad Database creator - detecting genes & pathways in a metagenome http://huttenhower.sph.harvard.edu/shortbred #microbiome #metagenomics",2013-07-24,14
"3497","360119254642720768",2013-07-24 15:28:00,"pathogenomenick","Apologies to Rob Edwards but his Real Time Metagenomics has been running for more than a day now on 2m reads!",2013-07-24,15
"3498","360120646308593664",2013-07-24 15:33:00,"metagenomics","#microbiome Can Humans Explore Mars Without Contaminating It? - Science 2.0 (blog) http://ow.ly/2yBWoz",2013-07-24,15
"3499","360120646606393344",2013-07-24 15:33:00,"metagenomics","#microecology What Role Do Beavers Play in Climate Change? - Science  AAAS http://ow.ly/2yBWoA",2013-07-24,15
"3500","360120750130204672",2013-07-24 15:34:00,"metagenomics","#IBD Putting the brakes on inflammation: Signal prevents immune system from ... - Science Daily (press release)",2013-07-24,15
"3501","360129235232358400",2013-07-24 16:07:00,"metagenomics","[PubMed] Loss of TLR2 worsens spontaneous colitis in MDR1A deficiency through commensally induced pyroptosis. http://1.usa.gov/1bO8Yb8",2013-07-24,16
"3502","360129236591312896",2013-07-24 16:07:00,"metagenomics","[PubMed] The role of diet in triggering human inflammatory disorders in the modern age. http://1.usa.gov/1bO8Yrq",2013-07-24,16
"3503","360129237702811648",2013-07-24 16:07:00,"metagenomics","[PubMed] Metagenome-wide analysis of antibiotic resistance genes in a large cohort of human gut microbiota. http://1.usa.gov/1bO8WQC",2013-07-24,16
"3504","360130686750961664",2013-07-24 16:13:00,"TAWOP","200 Year-Old Mummy Had Tuberculosis, Metagenomics Used To Recover 'Breakthrough' Genomes http://bit.ly/12jFDSz",2013-07-24,16
"3505","360134913917325312",2013-07-24 16:30:00,"SahaSurya","RT @genetics_blog: ShortBRED: Short Better REad Database creator - detecting genes & pathways in a metagenome http://huttenhower.sph.harvard.edu/shortbred #microbiome #metagenomics",2013-07-24,16
"3506","360135539720060928",2013-07-24 16:32:00,"pathogenomenick","@BioMickWatson @aaronquinlan @heyaudy ah yes, I guess no one has invented geological time metagenomics yet",2013-07-24,16
"3507","360136220132655104",2013-07-24 16:35:00,"metagenomics","#microbiota White House beckons microbiome researchers to prize challenge - Government Health IT (blog) http://ow.ly/2yC0CP",2013-07-24,16
"3508","360136220149424128",2013-07-24 16:35:00,"metagenomics","#microbiome White House beckons microbiome researchers to prize challenge - Government Health IT (blog) http://ow.ly/2yC0CO",2013-07-24,16
